qid,bm_loc,dn_loc,ans_loc,un_loc,pool_loc,bm_n,dn_n
3Fr6I1zhpVFIonDr,0.0,0.0,0.0,0.0,1284,0,0
oLxJxG5w23QHGyRs,0.0,0.0,0.0,0.0,0,0,0
yjk9Alu4GdQ4kmYm,0.02666666666666667,0.04,0.34,0.033101045296167246,3070,8,12
iZnBVxznIJgvQolw,0.0,0.0,0.0,0.0,0,0,0
JYKJHLC5mnywer0X,0.0,0.0,0.0,0.0,0,0,0
x1yQZhcE1O92Ymcs,0.14333333333333334,0.12,1.0,0.13191489361702127,19543,43,36
iTPxG5G311XIhLKm,0.12333333333333334,0.12333333333333334,1.0,0.12014134275618374,19543,37,37
5BpFO6EyX0UdrBim,0.03,0.03333333333333333,0.32,0.03187250996015936,2080,9,10
pwaEIDHTJxvI3Qxf,0.006666666666666667,0.023333333333333334,0.16,0.015065913370998116,3070,2,7
FktP777riVmmRm7n,0.0,0.0,0.0,0.0,0,0,0
NWgJAVECBtSuND6z,0.0,0.0,0.0,0.0,0,0,0
pkWDi5Gl0YrDWr4U,0.08,0.07,0.56,0.0684326710816777,12145,24,21
SQeDZQHUr75FN2la,0.03666666666666667,0.03,0.32,0.03065134099616858,1016,11,9
NLtzTv5oNpi3yG4Q,0.0,0.0,0.0,0.0,0,0,0
a3mFBB6RZcGZzgNp,0.05,0.043333333333333335,0.34,0.03777777777777778,2326,15,13
dJM7bddwEpfGkvJV,0.3433333333333333,0.3466666666666667,1.0,0.3103448275862069,19543,103,104
ZVd011m6Wn4sqzT7,0.013333333333333334,0.013333333333333334,0.1,0.014311270125223614,310,4,4
JYUbsR4EU5RtfGUA,0.08,0.07333333333333333,0.66,0.06463195691202872,12145,24,22
cU6xKxnoCWKOAdDI,0.03,0.013333333333333334,0.18,0.018867924528301886,1062,9,4
T55DxCmA0YzRDBRc,0.0,0.0,0.0,0.0,0,0,0
yIN6wsfxEV15nuCJ,0.17,0.10666666666666667,1.0,0.10982658959537572,355,51,32
ux4A8HjuHJdVFlG5,0.05333333333333334,0.023333333333333334,0.4,0.04194260485651214,3659,16,7
rhS3IeszsG7OuXlY,0.0,0.0,0.0,0.0,0,0,0
Kj9qtmLYJMfkaYkS,0.016666666666666666,0.03333333333333333,0.28,0.028017241379310345,1284,5,10
FXT1SQ1DiPMfoFvb,0.05333333333333334,0.06,0.46,0.05191873589164785,3178,16,18
WrQjIDx4BJzMq7zR,0.04,0.03,0.34,0.03244274809160305,1157,12,9
qICpl1nghlMbD1sQ,0.0,0.0,0.0,0.0,0,0,0
zVczyEUCqiBZymu9,0.02,0.04666666666666667,0.32,0.030575539568345324,1770,6,14
